id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
53,06I,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False,
54,15F,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
55,08B,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True,
56,03A,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
57,36I,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
58,05E,10082018,Adult,Cinnamon,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False,
59,32E,10172018,Adult,Gray,,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
60,05F,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False,
61,11B,10142018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
62,16E,10182018,Adult,Cinnamon,Gray,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False,
63,13F,10072018,Adult,Cinnamon,White,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
64,20B,10132018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False,
65,03A,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
66,29H,10062018,Adult,Gray,,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False,
67,23C,10142018,Adult,Gray,,Above Ground,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False,
68,33C,10072018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
69,38G,10202018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False,
70,16G,10172018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
71,36I,10072018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
72,35A,10142018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
73,28C,10062018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True,gnd to tree
74,32D,10132018,Adult,Cinnamon,,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False,
75,22A,10082018,Adult,Gray,White,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True,
76,40B,10142018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
77,19C,10182018,Adult,Gray,White,Ground Plane,,True,True,False,True,False,,False,False,False,False,True,False,True,False,
78,35A,10132018,Adult,Cinnamon,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
79,14E,10082018,Adult,Gray,,Ground Plane,,True,True,False,False,False,,True,False,False,False,False,False,False,True,
80,15G,10192018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
81,10F,10072018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
82,42E,10122018,Adult,Cinnamon,"Gray, White",Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True,
83,22B,10132018,Adult,Cinnamon,,Ground Plane,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True,ran from dog-walker
84,15F,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
85,05A,10062018,Adult,Gray,Cinnamon,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True,
86,32H,10062018,,Gray,,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False,
87,42C,10072018,,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False,
88,41D,10142018,Adult,Gray,Black,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False,
89,21G,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False,
90,14E,10082018,Adult,Gray,,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True,
91,07H,10062018,Adult,Gray,,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False,
