id,Hectare,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions
683,19F,10072018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,bit scared
684,02F,10142018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
685,17D,10082018,,,,Above Ground,"high in tree, couldn't see it, only heard it",False,False,False,False,False,,True,False,False,False,False,False,False,False,
686,37C,10132018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
687,13E,10082018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
688,09A,10102018,Adult,,,Ground Plane,by large tree in sectioned off area,False,False,True,False,False,i think it climbed the tree when i first saw it.,False,False,False,False,False,False,True,False,
689,18C,10182018,Juvenile,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
690,26I,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
691,21A,10192018,Juvenile,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
692,16D,10072018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
693,13G,10082018,Juvenile,Cinnamon,Gray,Above Ground,maple tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,
694,15I,10082018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
695,07H,10062018,Adult,Gray,Cinnamon,Ground Plane,"Ran across path to eat behind fence, next to the fence.",True,False,False,True,True,,False,False,False,False,True,False,False,True,
696,32F,10122018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,bringing green leaves to nest,False,False,False,False,False,False,False,False,
697,42H,10192018,Adult,Cinnamon,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
698,08I,10062018,Adult,Gray,,Above Ground,tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,
699,40G,10132018,Juvenile,Gray,,Ground Plane,along the road,False,False,False,True,False,,False,False,False,False,False,False,False,False,
700,21G,10142018,Adult,Gray,White,Above Ground,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
701,38D,10172018,Adult,Gray,"Black, Cinnamon",Ground Plane,,True,False,False,True,False,eating (nut),False,False,False,False,False,False,False,True,
702,02C,10102018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,climbed up tree as i neared
703,03D,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
704,35F,10122018,Juvenile,Gray,"Black, Cinnamon, White",Ground Plane,,True,False,False,True,True,,False,False,False,True,False,False,True,True,
705,33B,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
706,35C,10072018,Adult,,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
707,38I,10142018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
708,09H,10182018,Adult,Gray,White,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,True,False,
709,09A,10102018,Adult,,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
710,07E,10062018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False,
711,40C,10172018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
712,14F,10072018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
713,04D,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
714,05E,10082018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False,
715,40C,10062018,Adult,Gray,,Ground Plane,By the main road,True,False,False,False,False,,False,False,False,False,False,False,False,True,
716,15H,10082018,Adult,Gray,Cinnamon,Ground Plane,along bottom of rock outcropping,False,False,False,True,True,,False,False,False,False,False,False,True,False,
717,30C,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False,
718,19E,10182018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,False,True,
719,04I,10072018,Adult,Black,,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
720,08D,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
721,19F,10172018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
722,36I,10172018,Adult,Gray,,Ground Plane,,False,True,False,False,False,chasing (#7),False,False,False,False,True,False,False,True,runs from (me)
723,14F,10072018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
724,14A,10142018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
725,21G,10072018,,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,False,True,
726,32D,10062018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,False,True,False,,False,False,False,False,True,False,True,False,
727,04C,10102018,Juvenile,Gray,Cinnamon,Above Ground,on tree,False,True,False,False,False,chasing #14,False,False,False,False,False,False,True,False,
728,31D,10062018,Adult,Gray,,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,False,True,
729,04G,10062018,Adult,Black,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
730,17D,10082018,Adult,Gray,White,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,False,True,
731,08B,10072018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,True,False,True,False,
732,14D,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
733,09F,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
734,20F,10142018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
735,10F,10192018,Adult,Gray,White,Above Ground,Different tree,False,False,True,False,False,,False,False,False,False,False,False,True,False,
736,04H,10062018,Adult,Gray,Cinnamon,Ground Plane,,False,False,True,False,False,climbing (over small wire fence then on the ground),False,False,False,False,False,True,False,True,"approaches (saw me & came forward),runs from (startled by another person)"
737,33B,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,True,False,False,False,False,False,False,False,
738,33F,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,True,False,True,True,,True,False,False,False,True,False,False,False,
739,03B,10072018,Adult,Gray,White,Ground Plane,,False,False,False,True,False,hopping,False,False,False,False,False,False,True,False,
740,02E,10142018,Adult,Gray,White,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,True,False,
741,36F,10172018,Juvenile,Gray,White,Ground Plane,,True,False,False,True,True,,True,False,False,False,False,True,False,True,"approaches (me),runs from (me)"
742,13A,10142018,Adult,Gray,,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
743,16G,10102018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
744,37B,10182018,Adult,Black,,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False,
745,07B,10082018,Adult,Gray,,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
746,03F,10132018,Adult,Cinnamon,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
747,15E,10082018,Adult,Gray,,Above Ground,on fallen tree,True,False,False,True,True,,False,False,False,False,False,False,True,False,
748,15D,10072018,Adult,Gray,White,Ground Plane,,False,True,False,False,True,chasing #8,False,False,False,False,False,False,True,False,
749,20C,10182018,Juvenile,Gray,,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,False,False,
750,09A,10102018,,Gray,White,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False,froze - standing on hind legs for ~10 seconds then scampered off
751,04H,10062018,Adult,Gray,,Ground Plane,,False,False,False,False,True,met #3 while foraging and briefly tussled,False,False,False,False,False,False,True,False,
752,33G,10062018,Juvenile,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
753,41B,10142018,Adult,Black,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
754,04C,10062018,Juvenile,Gray,White,Ground Plane,,True,False,False,True,True,,False,False,False,False,True,False,True,False,
755,07A,10062018,Adult,Gray,,Above Ground,"in trees, then to ground",True,False,True,False,False,jumping,False,False,False,False,False,False,True,False,
756,12E,10172018,Adult,Gray,Cinnamon,Above Ground,,False,False,False,True,False,chilling,False,False,False,False,False,False,True,False,
757,14E,10082018,Adult,Gray,,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
758,18A,10122018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,True,True,burying,False,False,False,True,False,False,False,True,
759,08C,10132018,,Gray,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
760,23B,10122018,Adult,Gray,White,Ground Plane,,False,True,False,False,True,2/3 were chasing each other,False,False,False,False,True,False,False,True,
761,06B,10172018,Adult,Gray,Cinnamon,Ground Plane,,True,True,False,False,True,,False,False,False,False,False,False,False,False,
762,13A,10172018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
763,23B,10122018,Adult,Gray,Cinnamon,Above Ground,chain link fence,False,True,True,False,False,,False,False,False,False,False,False,True,False,
764,21B,10192018,Adult,Gray,,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,True,False,
765,20F,10142018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,pulling leaves,True,False,False,False,False,False,False,False,
766,11D,10102018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,True,True,True,,False,False,False,False,False,False,False,True,
767,09B,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,True,False,False,False,False,False,False,True,
768,33D,10172018,Adult,Black,,Ground Plane,,False,False,False,False,True,,False,True,False,True,False,False,True,False,
769,20G,10182018,Adult,Gray,,Above Ground,Ran up tree,True,False,True,False,False,,True,False,False,False,False,False,False,False,
770,33E,10122018,Adult,Gray,White,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,False,False,
771,31H,10082018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
772,26A,10062018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
773,31E,10062018,Adult,Gray,Cinnamon,Ground Plane,under bushes,False,False,False,False,True,,False,True,False,False,False,False,True,False,
774,14F,10122018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,True,False,,False,False,False,False,False,False,True,False,
775,17G,10182018,Juvenile,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
776,17E,10172018,Adult,Gray,,Above Ground,Tree trunk,False,False,True,False,False,,False,False,False,False,False,False,False,False,
777,10C,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,True,
778,22C,10062018,Juvenile,Cinnamon,Gray,Above Ground,on tree,False,False,False,True,False,,False,False,False,False,False,False,False,False,
779,35G,10072018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
780,16C,10182018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,disappeared up other side of tree
781,25A,10132018,,Gray,,Above Ground,BIG TREE,False,False,False,False,False,being chased by #2,False,False,False,False,False,False,True,False,
782,16D,10102018,Adult,Gray,,Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,True,False,
783,22F,10142018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,True,False,
784,33B,10102018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
785,36I,10172018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,True,False,
786,02I,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,True,,False,False,False,False,False,False,True,False,
787,12G,10122018,Adult,Cinnamon,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
788,25A,10072018,Adult,Cinnamon,Gray,Above Ground,tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,
789,09C,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
790,06B,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
791,10D,10082018,Juvenile,Gray,White,Above Ground,,False,False,True,True,False,,False,False,False,False,False,False,False,False,
792,14B,10142018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
793,02C,10132018,Adult,,,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
794,41A,10072018,Adult,Gray,"Cinnamon, White",Ground Plane,,True,False,True,False,False,,False,False,False,False,False,False,False,True,
795,13E,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
796,15E,10132018,Adult,Gray,Cinnamon,Above Ground,,True,False,True,False,False,,False,False,False,False,False,True,False,False,
797,01B,10122018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,True,True,True,,False,False,False,False,False,False,True,False,
798,36I,10072018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
799,15F,10072018,Adult,Cinnamon,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
800,08D,10072018,Adult,Gray,,Above Ground,,False,False,False,False,False,communicating from tree,False,False,False,False,False,False,False,False,
801,41A,10132018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,ran across a path,False,False,False,False,False,False,True,False,
802,08I,10132018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
803,19B,10192018,Juvenile,Gray,"Cinnamon, White",Ground Plane,,True,False,False,True,False,,False,False,False,False,False,False,True,True,indifferent then runs from
804,15D,10172018,Adult,Cinnamon,,Above Ground,on fence,True,False,False,False,False,,False,False,False,False,False,False,True,False,
805,13E,10172018,Adult,Gray,,Ground Plane,,False,False,False,False,True,begging (came one yard away from me and stood there),False,False,False,False,False,True,False,False,
806,03D,10102018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
807,15C,10172018,Adult,Gray,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
808,32A,10132018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
809,15G,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
810,07B,10082018,Adult,Gray,,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
811,15E,10082018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
812,04D,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,True,
813,36A,10132018,,Gray,Cinnamon,Ground Plane,EDGE OF WOODS,False,False,False,True,False,,False,False,False,False,False,False,True,False,
814,08C,10132018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,True,False,
815,06A,10062018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False,
816,41E,10072018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
817,31D,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
818,36B,10132018,,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,didn't see me
819,03A,10122018,Juvenile,Gray,"Black, Cinnamon",Above Ground,,False,False,True,False,False,,False,False,False,False,True,False,False,True,
820,34D,10082018,Adult,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
821,41B,10102018,Adult,Gray,,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
822,39F,10142018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
823,37B,10132018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
824,39C,10062018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
825,37F,10142018,Juvenile,Gray,"Cinnamon, White",Ground Plane,LAWN,False,False,False,True,True,,False,False,False,False,False,False,True,False,
826,21A,10192018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
827,34I,10102018,Adult,Gray,,Ground Plane,in the playground.,True,False,False,False,True,with some nuts in the mouth,False,False,False,False,False,False,False,False,
828,16C,10142018,Adult,Gray,"Black, Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False,
829,31E,10062018,Adult,Gray,Cinnamon,Ground Plane,under bushes,False,False,False,True,True,burying,False,False,False,False,False,False,True,False,
830,36D,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,True,False,
831,23B,10122018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
832,12B,10182018,Adult,Gray,,Ground Plane,Climbing up rocks,False,False,True,False,True,climbing (up rocks),False,False,False,False,False,False,False,True,
833,10G,10172018,Adult,Gray,,Ground Plane,,False,False,False,False,False,standing,False,False,False,False,False,False,True,False,
834,14D,10142018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
835,03F,10062018,Adult,Gray,,Ground Plane,just to right when enter sanctuary,False,False,False,False,True,,False,False,False,False,False,False,True,False,
836,35G,10062018,Adult,Black,Cinnamon,Ground Plane,,True,False,True,False,False,,False,False,False,False,True,False,False,True,
837,09I,10142018,Adult,Gray,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
838,35A,10132018,Adult,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,True,
839,39A,10142018,Adult,Gray,White,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
840,09C,10062018,Adult,Gray,White,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,True,w/ dog
841,17I,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,True,False,
842,14D,10142018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
843,17I,10172018,Juvenile,Cinnamon,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,"was in a tree,so i couldn't really tell"
844,41C,10172018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
845,39B,10142018,Adult,Gray,White,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
846,42A,10192018,Juvenile,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
847,02E,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
848,14F,10072018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
849,08D,10072018,Adult,Gray,,Above Ground,,False,True,False,False,False,chasing squirrel #3,False,False,False,False,False,False,False,False,
850,22F,10072018,Adult,Cinnamon,,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,True,False,False,
851,36I,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
852,34B,10132018,Adult,Cinnamon,Gray,Above Ground,,True,False,True,False,False,hopping,False,False,False,False,False,True,False,True,
853,36I,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,False,True,"chasing (#8),scratching",True,False,False,False,True,False,True,False,
854,32G,10132018,Juvenile,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
855,02A,10192018,Adult,Gray,White,Ground Plane,,False,False,False,False,False,runs from,False,False,False,True,False,False,False,True,
856,35D,10132018,Juvenile,Gray,White,Above Ground,tree,False,False,True,False,False,,False,False,False,False,True,False,True,False,
857,08G,10172018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
858,29C,10072018,Adult,Black,Gray,Above Ground,,True,False,True,False,False,,False,True,False,False,False,False,False,True,
859,36B,10132018,Adult,Gray,White,Ground Plane,,True,False,True,False,False,,False,False,False,False,True,True,False,True,
860,17B,10102018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,True,False,
861,37H,10062018,,,,Above Ground,tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,
862,30C,10142018,Adult,Gray,Cinnamon,Ground Plane,on a rock,True,False,False,False,True,,False,False,False,False,True,False,True,False,
863,04D,10082018,Adult,Cinnamon,"Gray, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
864,18C,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
865,11C,10182018,Adult,Gray,White,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True,
866,02B,10132018,Adult,Gray,,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,True,False,False,sat there! in front of us
867,09A,10132018,Adult,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,True,
868,07E,10132018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,True,True,,False,False,False,False,True,False,False,False,
869,33A,10182018,Adult,Gray,,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True,
870,07G,10182018,Adult,Gray,"Cinnamon, White",Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
871,39B,10142018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
872,34H,10062018,Adult,Black,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
873,07B,10082018,Adult,Gray,,Ground Plane,,False,True,False,False,False,,False,False,False,False,False,False,True,False,
874,36C,10132018,Adult,Gray,,Ground Plane,Clearing near bike path (bikes active),False,True,False,True,True,,False,False,False,False,True,False,True,False,
875,14E,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
876,02E,10102018,Adult,Cinnamon,,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
877,26A,10062018,Juvenile,Gray,,Ground Plane,,False,False,False,False,False,not moving,False,False,False,False,False,False,False,False,
878,09F,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
879,02F,10142018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
880,08E,10082018,Adult,Gray,White,Ground Plane,"5, 6, 7 all at same tree trunk base",False,True,True,False,False,,False,False,False,False,False,False,False,False,
881,36F,10122018,Juvenile,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
882,08D,10072018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
883,04B,10182018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False,
884,40D,10132018,Adult,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
885,16E,10182018,Juvenile,Gray,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False,
886,02F,10142018,Adult,Gray,Black,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
887,14E,10082018,Adult,Gray,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
888,32A,10132018,Juvenile,Gray,White,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,False,True,
889,15G,10192018,Juvenile,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
890,11I,10122018,Adult,Gray,,Above Ground,,True,False,True,False,True,,False,False,False,False,False,False,False,False,
891,15H,10082018,Adult,Gray,,Above Ground,oak tree,False,True,True,False,False,,False,False,False,False,False,False,False,True,
892,31D,10142018,,Gray,White,Ground Plane,Undergrowth,False,False,False,False,True,,False,False,False,False,False,False,False,True,
893,22I,10072018,Adult,Gray,,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False,
894,02B,10102018,Adult,Cinnamon,,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
895,17F,10072018,Adult,Cinnamon,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False,
896,06A,10062018,Adult,Gray,White,Ground Plane,,True,False,False,True,True,,False,False,False,False,True,False,True,False,
897,06D,10082018,Juvenile,Gray,,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
898,06F,10082018,Adult,Cinnamon,White,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
899,37G,10142018,Adult,Gray,,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True,
900,02C,10102018,Adult,Gray,Cinnamon,Above Ground,stay on side of trunk,False,False,True,False,False,,False,False,False,False,False,False,False,False,
901,31B,10172018,Adult,Gray,,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
902,12F,10072018,Adult,Gray,"Cinnamon, White",Above Ground,,False,False,False,False,True,going down tree,False,False,False,False,False,False,True,False,
903,20B,10132018,Adult,Gray,White,Ground Plane,,True,False,False,False,False,being chased by dog,False,False,False,False,False,False,False,True,
904,07G,10102018,Adult,Gray,,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False,
905,36I,10072018,Adult,Gray,,Ground Plane,,False,True,False,False,True,,False,False,False,False,False,False,False,False,
906,11A,10132018,Adult,Cinnamon,Gray,Ground Plane,,True,False,False,False,True,digging,False,False,False,False,True,False,False,False,
907,27A,10082018,Adult,Gray,,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,True,
908,32F,10122018,Adult,Gray,White,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
909,26I,10102018,Adult,Gray,"Cinnamon, White",Above Ground,tree,False,False,True,False,True,,False,False,False,False,False,False,True,False,
910,21D,10082018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
911,08H,10172018,Adult,Gray,Cinnamon,Ground Plane,,False,True,False,True,True,,False,False,False,False,False,False,True,False,
912,36D,10072018,Adult,Gray,,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
913,42G,10182018,Adult,Gray,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,True,
914,12H,10072018,,,,Above Ground,in tree,False,False,False,False,False,,False,False,False,False,False,False,False,True,
